respid,constituency.x,urban.x,old_branch_position,ps2018_contestant,won_seat,ps2018_contest_position,years_active_npp,age,female,chief_relative,pol_relative,da_relative,constexec_relative,mpdce_relative,local_eth_minority,lives_outside_ps,years_comm,formal_sector,helps_comm_w_party,helps_comm_w_da,helps_party_idcomm,campaign_canvass,campaign_gifts,campaign_jobs,campaign_assistance,campaign_workwchief,campaign_orgevents,campaign_orgrallies,campaign_orgtransport,campaign_drivevoters,yea_since2016.x,gov_loan_since2016.x,training_since2016.x,paid_for_campaign,paid_for_camp_money,paid_for_camp_loan,paid_for_camp_cloth,paid_for_camp_food,paid_for_camp_credit,paid_for_camp_bicycle,paid_for_camp_moto,paid_for_camp_phone,paid_post_camp_loan.x,paid_post_camp_bicycle.x,paid_post_camp_moto.x,paid_post_camp_contracts.x,paid_post_camp_job.x,paid_post_camp_training.x,contestation_type,wealth_index_2km.x,npp_const_2016.x,comp_const_2016.x,cxn_down_percentage_correct_full,cxn_up_percentage_correct_full,pres2012_ps_margin,bio_educ_three,cpgn_brok_index,broker_down,broker_up,asset_index,petty_trader,cxn_up_constexecs,cxn_up_bureaucrats,cxn_up_politicians,asset_total.x,payments.increase_pay_open,version.y,asset_total.y,yea_since2016.y,gov_loan_since2016.y,training_since2016.y,paid_post_camp_loan.y,paid_post_camp_bicycle.y,paid_post_camp_moto.y,paid_post_camp_contracts.y,paid_post_camp_job.y,paid_post_camp_training.y,cxn_up_percentage_correct_full_w2,cxn_up_constexecs_w2,cxn_up_bureaucrats_w2,cxn_up_politicians_w2,expected_personal_category1.x,expected_personal_category2.x,expected_personal_category3.x,expected_personal_category4.x,expected_personal_category1.y,expected_personal_category2.y,expected_personal_category3.y,expected_personal_category4.y,job_immed,job_after,train_immed,train_after,loan_immed,loan_after,bike_moto_immed,bike_moto_after,contracts_immed,contracts_after,big_pat_immed,big_pat_after,big_pat_total,big_pat_after2,small_pat_immed,small_pat_after,small_pat_total,cloth_immed,cloth_after,food_immed,food_after,money_immed,money_after,inputs_immed,inputs_after,electronics_immed,electronics_after,nothing_immed,nothing_after,change_econ_retro,change_consumer_conf,change_total_assets,npp12to16_ps_swing.NEW,helps_comm_w_party.y,helps_comm_w_da.y,helps_party_idcomm.y,howto_paid_r1,howto_paid_r2,howto_cxnup,howto_effort_performance,km_to_capital_wave1,broker_up.y,broker_down.y,current_exec,newly_elected,change_cnx_up,swing_2012_2016_const,npp_rawvotes,anon.ps.name,paid_camp_big,paid_for_camp_bike_moto,paid_camp_small,expects.accomodation,expects.bur.favors,expects.fees,expects.cash,expects.inputs,expects.job,expects.job.family,expects.loan,expects.moto,expects.other,not_paid_for_campaign,nothing_start_to_immed,nothing_start_to_after,major_start_to_immed,major_start_to_after,minor_start_to_immed,minor_start_to_after
10135,agona_east,0,1,1,1,org,26,46,0,1,1,0,0,0,1,0,41,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.208333333333333,0.12,0.402,1,3,0,1,4,0,0.2,0,0.142857142857143,4,Keep lobbying the exercutives,V13,5,0,0,0,0,0,0,0,0,0,0.08,0.1,0,0.142857142857143,inputs,loan,,,loan,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.0405806451612902,1,0,0,connect_up,,1,0,14.403935964299,1,0,1,0,-0.04,0.0579601706238879,-5,PS1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
10136,agona_east,0,1,1,1,youth_org,26,47,0,1,1,0,1,1,0,0,32,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.291666666666667,0.16,0.402,1,6,0,0,4,0,0.2,0,0.285714285714286,4,Peaceful party,V13,4,0,0,0,0,0,0,0,0,0,0.16,0.2,0,0.285714285714286,job,loan,inputs,health bills,job,inputs,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0405806451612902,1,0,1,other,,0,0,14.403935964299,1,1,1,0,0,0.0579601706238879,-5,PS1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0
10134,agona_east,0,1,1,1,secretary,16,30,0,0,1,0,0,1,1,0,20,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.291666666666667,0.28,0.402,2,6,0,0,5,0,0.3,0.25,0.285714285714286,5,By going to meet the top party people one on one to have a personal conversation with them to air grievances,V13,4,0,0,1,0,0,0,0,0,0,0.28,0.2,0.125,0.571428571428571,job,loan,,,job,,,,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.0405806451612902,1,0,0,connect_up,,1,0,14.403935964299,1,0,1,0,0,0.0579601706238879,-5,PS1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
10133,agona_east,0,1,1,1,chair,20,39,0,0,0,0,0,0,1,0,15,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,backroom,0.3850522,0,1,0.291666666666667,0.4,0.402,3,4,1,1,6,0,0.6,0,0.571428571428571,6,None,V13,7,0,0,0,0,0,0,0,0,0,0.36,0.6,0,0.428571428571429,job,,,,job,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0.0405806451612902,1,0,0,impossible,,0,0,14.403935964299,1,0,1,0,-0.04,0.0579601706238879,-5,PS1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
10137,agona_east,0,1,1,1,women_org,26,61,1,0,1,0,1,0,0,0,37,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.0416666666666667,0.36,0.402,1,6,0,1,5,1,0.5,0.125,0.428571428571429,5,None,V13,6,0,1,0,1,0,0,0,0,0,0.2,0.4,0,0.142857142857143,job for family,,,,loan,,,,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0405806451612902,0,0,0,impossible,,0,0,14.403935964299,0,0,1,0,-0.16,0.0579601706238879,-5,PS1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
11011,agona_east,0,1,1,1,youth_org,10,31,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.125,0.16,0.463793103448276,2,6,0,1,7,0,0.2,0,0.285714285714286,7,None,V13,4,0,0,0,0,0,0,0,0,0,0.16,0.3,0,0.142857142857143,"motorvehicle (car, moto)",,,,job,loan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-3,0.0430271026848202,0,0,1,impossible,,0,0,13.9418135849116,0,1,1,0,0,0.0579601706238879,-4,PS2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
11012,agona_east,0,1,1,1,women_org,5,54,1,0,0,0,0,0,1,0,52,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.0833333333333333,0.08,0.463793103448276,1,2,0,0,4,1,0.1,0,0.142857142857143,4,By rigorously campaigning for more votes for the party,V13,2,0,1,1,1,0,0,0,0,1,0.08,0.1,0,0.142857142857143,electricity,job for family,,,job for family,,,,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0.0430271026848202,1,0,0,performance,,0,1,13.9418135849116,1,0,1,0,0,0.0579601706238879,-4,PS2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1
11013,agona_east,0,1,1,1,chair,10,41,0,0,1,1,0,1,1,0,41,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.125,0.6,0.463793103448276,2,8,0,1,5,0,0.7,0.5,0.571428571428571,5,By getting closer to top district assembly officials,V13,6,0,0,0,0,0,0,0,0,0,0.6,0.7,0.625,0.428571428571429,job,contracts,,,contracts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0.0430271026848202,1,1,0,connect_up,,1,0,13.9418135849116,1,0,1,0,0,0.0579601706238879,-4,PS2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
11014,agona_east,0,1,1,1,org,8,39,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.208333333333333,0.16,0.463793103448276,2,4,0,0,7,0,0.2,0,0.285714285714286,7,Keep pushing the executives to increase benefits,V13,7,0,0,0,0,0,0,0,0,0,0.2,0.3,0,0.285714285714286,loan,contracts,,,contracts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0430271026848202,1,0,0,connect_up,,1,0,13.9418135849116,1,0,1,0,0.04,0.0579601706238879,-4,PS2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
11015,agona_east,0,1,1,1,secretary,18,52,0,0,0,0,0,0,1,0,52,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,uncontested,0.3850522,0,1,0.0833333333333333,0.68,0.463793103448276,1,3,0,1,4,0,1,0.25,0.714285714285714,4,By continuing serving selflessly for the progress of the party in the community,V13,3,0,0,0,0,0,0,0,0,0,0.4,0.6,0.125,0.428571428571429,job,,,,contracts,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0.0430271026848202,1,1,0,greater_effort,,0,1,13.9418135849116,1,0,1,0,-0.28,0.0579601706238879,-4,PS2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
